"Data";"Descrição";"Crédito";"Débito"
"02/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.083,55"
"03/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"113,63";""
"06/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.023,47";""
"07/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.267,34"
"08/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"0,71"
"09/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.578,23";""
"13/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"2.317,03"
"15/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"381,87"
"16/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"83,62"
"17/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"296,08"
"20/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"3.539,50";""
"21/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"3.882,65"
"22/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"497,55"
"23/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"358,11";""
"24/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"763,40";""
"27/01/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"691,25"
"30/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"424,66";""
"31/01/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.604,83";""
"31/01/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,07";""
