"Data";"Descrição";"Crédito";"Débito"
"02/02/2026";"Aplicação Conta Max";"8.213,38";""
"04/02/2026";"Resgate Conta Max";"";"3.050,16"
"05/02/2026";"Resgate Conta Max";"";"1.388,59"
"06/02/2026";"Resgate Conta Max";"";"2.778,28"
"09/02/2026";"Aplicação Conta Max";"1.048,62";""
"10/02/2026";"Aplicação Conta Max";"2.926,98";""
"11/02/2026";"Aplicação Conta Max";"470,38";""
"12/02/2026";"Aplicação Conta Max";"751,44";""
"13/02/2026";"Resgate Conta Max";"";"1.344,65"
"18/02/2026";"Resgate Conta Max";"";"4.547,10"
"19/02/2026";"Aplicação Conta Max";"801,62";""
"20/02/2026";"Resgate Conta Max";"";"354,20"
"23/02/2026";"Resgate Conta Max";"";"848,93"
"24/02/2026";"Resgate Conta Max";"";"1.798,91"
"25/02/2026";"Resgate Conta Max";"";"98,64"
"27/02/2026";"Aplicação Conta Max";"851,39";""
"27/02/2026";"Aplicação Conta Max";"550,41";""
"27/02/2026";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,18";""
