"Data";"Descrição";"Crédito";"Débito"
"02/04/2026";"Aplicação Conta Max";"442,00";""
"06/04/2026";"Resgate Conta Max";"";"288,00"
"07/04/2026";"Aplicação Conta Max";"723,88";""
"08/04/2026";"Aplicação Conta Max";"223,19";""
"09/04/2026";"Resgate Conta Max";"";"581,42"
"10/04/2026";"Aplicação Conta Max";"1.172,46";""
"13/04/2026";"Aplicação Conta Max";"146,75";""
"14/04/2026";"Resgate Conta Max";"";"245,05"
"15/04/2026";"Resgate Conta Max";"";"588,30"
"16/04/2026";"Resgate Conta Max";"";"202,99"
"17/04/2026";"Resgate Conta Max";"";"1.060,30"
"20/04/2026";"Resgate Conta Max";"";"1.395,85"
"22/04/2026";"Aplicação Conta Max";"714,46";""
"23/04/2026";"Resgate Conta Max";"";"1.492,28"
"24/04/2026";"Resgate Conta Max";"";"879,48"
"27/04/2026";"Aplicação Conta Max";"625,85";""
"28/04/2026";"Resgate Conta Max";"";"622,01"
"29/04/2026";"Resgate Conta Max";"";"262,40"
"30/04/2026";"Aplicação Conta Max";"618,85";""
"30/04/2026";"Aplicação Conta Max";"186,61";""
"30/04/2026";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,18";""
