"Data";"Descrição";"Crédito";"Débito"
"05/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"363,08";""
"06/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"261,19"
"07/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"916,28"
"10/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"4.105,92";""
"11/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"558,15"
"12/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"783,00";""
"13/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"4.236,56"
"14/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"559,55"
"19/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"148,23";""
"20/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"874,80"
"21/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"198,85"
"24/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.327,20";""
"25/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"970,69";""
"26/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"714,93";""
"27/03/2025";"Resgate Conta Max - contrapartida da conta corrente";"";"1.236,80"
"28/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"602,43";""
"31/03/2025";"Aplicação Conta Max - contrapartida da conta corrente";"1.241,65";""
"31/03/2025";"Rendimento líquido Conta Max - ajuste de centavos do extrato";"0,11";""
